AL012004	3	8	2004	6	33.0	-77.4	129.5	809.53	667.02	504.11	749.46	682.5300000000001
AL012004	3	8	2004	12	34.2	-76.4	157.2	446.36	368.02	947.36	485.5	561.8100000000001
AL012005	8	6	2005	18	16.9	-84.0	46.25	854.18	267.68	0.0	779.24	633.6999999999999
AL012005	9	6	2005	0	17.4	-83.9	55.5	812.92	162.97	741.97	824.41	635.5675
AL012005	9	6	2005	6	18.2	-83.9	64.75	625.07	0.0	485.79	640.16	583.6733333333333
AL012005	9	6	2005	12	19.0	-84.0	64.75	902.37	0.0	951.0	1076.34	976.57
AL012005	9	6	2005	18	19.7	-84.1	64.75	1024.41	0.0	0.0	1415.8	1220.105
AL012005	10	6	2005	0	20.4	-84.2	74.0	793.63	382.05	0.0	312.59	496.09
AL012005	10	6	2005	6	21.2	-84.4	83.25	567.85	95.23	722.15	727.62	528.2125
AL012005	10	6	2005	8	21.8	-84.5	83.25	888.93	871.25	0.0	730.35	830.1766666666666
AL012005	10	6	2005	12	23.0	-84.7	92.5	933.36	854.37	0.0	922.81	903.5133333333333
AL012005	10	6	2005	18	24.9	-85.1	101.7	1119.4	1119.4	0.0	955.01	1064.6033333333335
AL012005	11	6	2005	0	26.5	-85.6	111.0	395.6	300.2	0.0	1089.17	594.99
AL012005	11	6	2005	1	26.5	-85.6	111.0	486.67	350.9	0.0	1042.9	626.8233333333334
AL012005	11	6	2005	6	27.7	-86.8	111.0	536.83	393.58	0.0	704.15	544.8533333333334
AL012005	11	6	2005	12	28.9	-87.2	101.7	747.69	490.19	100.19	933.32	567.8475000000001
AL012005	11	6	2005	18	30.1	-87.5	92.5	731.3	698.64	77.84	1779.76	821.885
AL012005	11	6	2005	19	30.3	-87.5	92.5	826.86	700.32	77.54	1412.33	754.2625
AL012005	12	6	2005	0	31.4	-87.6	55.5	681.68	681.77	0.0	535.75	633.0666666666666
AL012005	12	6	2005	6	32.7	-87.7	46.25	205.1	186.15	0.0	0.0	195.625
AL012006	10	6	2006	6	20.0	-85.0	46.25	639.88	0.0	686.44	694.23	673.5166666666668
AL012006	10	6	2006	12	21.0	-85.3	55.5	566.79	0.0	590.7	555.72	571.07
AL012006	10	6	2006	18	21.9	-85.7	55.5	523.2	0.0	531.85	685.26	580.1033333333334
AL012006	11	6	2006	0	22.5	-86.3	64.75	649.61	0.0	895.06	872.62	805.7633333333333
AL012006	11	6	2006	6	23.1	-87.1	64.75	445.28	0.0	0.0	635.77	540.525
AL012006	11	6	2006	12	23.6	-87.8	74.0	766.65	0.0	1009.69	735.6	837.3133333333334
